"","countryn","errort","datetime"
"26","LoadNorway","Error in vroom(""https://raw.githubusercontent.com/thohan88/covid19-nor-data/master/data/01_infected/msis/municipality.csv""): could not find function ""vroom""
",2022-03-10 18:25:18
"27","LoadPeru","Error in covid19(""Peru"", level = 2): could not find function ""covid19""
",2022-03-10 18:25:20
"28","LoadPhilippines","Error in drive_auth(path = oauthpath): could not find function ""drive_auth""
",2022-03-10 18:41:28
"29","LoadSaudiArabia","Error in st_read(""https://services6.arcgis.com/bKYAIlQgwHslVRaK/arcgis/rest/services/VWPlacesCasesHostedView/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json""): could not find function ""st_read""
",2022-03-10 18:41:28
"30","LoadSouthAfrica","Error in st_read(""countries/data/geom/geomSouthAfrica.geojson""): could not find function ""st_read""
",2022-03-10 18:41:29
"31","LoadSpain","Error in as.data.frame(Spaincode): object 'Spaincode' not found
",2022-03-10 18:41:46
"32","LoadSwitzerlandLiechtenstein","Error in fromJSON(""https://www.covid19.admin.ch/api/data/context""): could not find function ""fromJSON""
",2022-03-10 18:41:47
"33","LoadTaiwan","Error in vroom(""countries/data/TaiwanPop.csv"", .name_repair = make.names): could not find function ""vroom""
",2022-03-10 18:41:51
"34","LoadThailand","Error in file(file, ""rt""): cannot open the connection
",2022-03-10 18:41:58
"35","LoadUK","Error in today(): could not find function ""today""
",2022-03-10 18:41:58
"36","LoadUS","Error in st_read(""countries/data/geom/geomUnitedStates.geojson""): could not find function ""st_read""
",2022-03-10 18:42:11
"37","LoadVenezuela","Error in vroom(""https://docs.google.com/spreadsheets/d/e/2PACX-1vQI4s0no2TS1dYxbv82nhKD7iz8fbDGwdsOI4kzJ0cg3gjOR51KIw_rNOff97Xic_fRQD41xmsDGUfM/pub?gid=1029482781&single=true&output=csv""): could not find function ""vroom""
",2022-03-10 18:42:11
"38","LoadVietnam","Error in file(file, ""rt""): cannot open the connection
",2022-03-10 18:42:11
"39","LoadZimbabwe","Error in file(file, ""rt""): cannot open the connection
",2022-03-10 18:42:11
"1","LoadNewZealand","Error: $ operator is invalid for atomic vectors
",2022-03-03 03:55:20
